team_id,team_name,country_code,sport_id,event_id,gender
140,TASCHLEROVA Natalie/TASCHLER Filip,CZE,6,43,Mixed
141,Denmark,DEN,8,60,Men
142,Denmark,DEN,5,37,Women
143,JOHANSEN Nanna/VESTERGAARD JOHANSEN Rasmus,DEN,12,81,Mixed
144,Estonia,EST,10,68,Men
145,Estonia,EST,13,87,Men
146,Estonia,EST,5,39,Mixed
147,Estonia,EST,4,34,Men
148,Estonia,EST,2,10,Mixed
149,Estonia,EST,2,18,Women
150,Estonia,EST,2,17,Men
151,Estonia,EST,4,31,Women
152,Estonia,EST,4,33,Women
153,Finland,FIN,8,60,Men
154,Finland,FIN,8,61,Women
155,Finland,FIN,4,34,Men
156,Finland,FIN,4,17,Men
157,Finland,FIN,13,87,Men
158,Finland,FIN,10,68,Men
159,Finland,FIN,13,84,Mixed
160,Finland,FIN,4,33,Women
161,Finland,FIN,4,31,Women
162,Finland,FIN,2,17,Men
163,Finland,FIN,2,18,Women
164,Finland,FIN,2,10,Mixed
165,Finland,FIN,1,2,Men
166,TURKKILA Juulia/VERSLUIS Matthias,FIN,6,43,Mixed
167,BOCH Margot,FRA,3,23,Womwn
168,FOURNIER BEAUDRY Laurence/CIZERON Guillaume,FRA,6,43,Mixed
169,France,FRA,8,61,Women
170,France,FRA,8,60,Men
171,France,FRA,6,44,Mixed
172,France,FRA,4,17,Men
173,France,FRA,4,34,Men
174,France,FRA,13,84,Mixed
175,France,FRA,10,68,Men
176,France,FRA,13,87,Men
177,France,FRA,14,90,Mixed
178,France,FRA,11,76,Women
179,France,FRA,11,70,Mixed
180,France,FRA,16,110,Men
181,France,FRA,2,10,Mixed
182,France,FRA,2,18,Women
183,France,FRA,2,17,Men
184,France,FRA,4,31,Women
185,France,FRA,4,33,Women
186,France 1,FRA,1,2,Men
187,France 1,FRA,1,3,Women
188,France 1,FRA,15,99,Mixed
189,France 2,FRA,15,99,Mixed
190,France 2,FRA,1,3,Women
191,France 2,FRA,1,2,Men
192,France 3,FRA,1,2,Men
193,France 3,FRA,1,3,Women
194,France 3,FRA,15,99,Mixed
195,HEINRICH Romain,FRA,3,22,Men
196,HEINRICH Romain,FRA,3,24,Men
197,KOVALEV Camille/KOVALEV Pavel,FRA,6,42,Mixed
198,LOPAREVA Evgeniia/BRISSAUD Geoffrey,FRA,6,43,Mixed
199,DAVIS Diana/SMOLKIN Gleb,GEO,6,43,Mixed
200,Georgia,GEO,6,44,Mixed
201,METELKINA Anastasiia/BERULAVA Luka,GEO,6,42,Mixed
202,AMMOUR Adam,GER,3,22,Men
203,AMMOUR Adam,GER,3,24,Men
204,BUCKWITZ Lisa,GER,3,23,Womwn
205,EGGERT Toni/MUELLER Florian,GER,9,64,Men
206,EITBERGER Dajana/MATSCHINA Magdalena,GER,9,65,Women
207,FRIEDRICH Francesco,GER,3,24,Men
208,FRIEDRICH Francesco,GER,3,22,Men
209,Germany,GER,5,38,Men
210,Germany,GER,4,34,Men
211,Germany,GER,4,17,Men
212,Germany,GER,8,60,Men
213,Germany,GER,8,61,Women
214,Germany,GER,9,66,Mixed
215,Germany,GER,13,84,Mixed
216,Germany,GER,10,68,Men
217,Germany,GER,13,87,Men
218,Germany,GER,14,90,Mixed
219,Germany,GER,16,110,Men
220,Germany,GER,16,111,Women
221,Germany,GER,2,10,Mixed
222,Germany,GER,4,33,Women
223,Germany,GER,4,31,Women
224,Germany,GER,2,17,Men
225,Germany,GER,2,18,Women
226,Germany,GER,1,3,Women
227,Germany,GER,1,2,Men
228,Germany 1,GER,15,99,Mixed
229,HASE Minerva Fabienne/VOLODIN Nikita,GER,6,42,Mixed
230,HOCKE Annika/KUNKEL Robert,GER,6,42,Mixed
231,JANSE van RENSBURG Jennifer/STEFFAN Benjamin,GER,6,43,Mixed
232,KALICKI Kim,GER,3,23,Womwn
233,KREHER Susanne/JUNGK Axel,GER,12,81,Mixed
234,LOCHNER Johannes,GER,3,24,Men
235,LOCHNER Johannes,GER,3,22,Men
236,NOLTE Laura,GER,3,23,Womwn
237,PFEIFER Jacqueline/GROTHEER Christopher,GER,12,81,Mixed
238,WENDL Tobias/ARLT Tobias,GER,9,64,Men
239,BEKKER Phebe/HERNANDEZ James,GBR,6,43,Mixed
240,FEAR Lilah/GIBSON Lewis,GBR,6,43,Mixed
241,Great Britain,GBR,6,44,Mixed
242,Great Britain,GBR,4,34,Men
243,Great Britain,GBR,5,38,Men
244,Great Britain,GBR,5,39,Mixed
245,Great Britain,GBR,5,37,Women
246,Great Britain 1,GBR,15,99,Mixed
247,HALL Brad,GBR,3,22,Men
248,HALL Brad,GBR,3,24,Men
249,NICOLL Adele,GBR,3,23,Womwn
250,STOECKER Tabitha/WESTON Matt,GBR,12,81,Mixed
251,TARBIT Freya/WYATT Marcus,GBR,12,81,Mixed
252,VAIPAN-LAW Anastasia/DIGBY Luke,GBR,6,42,Mixed
253,Greece,GRE,4,33,Women
254,Hungary,HUN,4,33,Women
255,Hungary,HUN,11,70,Mixed
256,Hungary,HUN,11,78,Men
257,Hungary,HUN,4,34,Men
258,PAVLOVA Maria/SVIATCHENKO Alexei,HUN,6,42,Mixed
259,EDELMAN Adam,ISR,3,24,Men
260,EDELMAN Adam,ISR,3,22,Men
261,ANDREUTTI Giada,ITA,3,23,Womwn
262,BAUMGARTNER Patrick,ITA,3,24,Men
263,BAUMGARTNER Patrick,ITA,3,22,Men
264,CONTI Sara/MACII Niccolo,ITA,6,42,Mixed
265,de SILVESTRO Simona,ITA,3,23,Womwn
266,FUMAGALLI Alessandra/BAGNIS Amedeo,ITA,12,81,Mixed
267,GHILARDI Rebecca/AMBROSINI Filippo,ITA,6,42,Mixed
268,GUIGNARD Charlene/FABBRI Marco,ITA,6,43,Mixed
269,Italy,ITA,4,34,Men
270,Italy,ITA,4,17,Men
271,Italy,ITA,5,37,Women
272,Italy,ITA,5,39,Mixed
273,Italy,ITA,5,38,Men
274,Italy,ITA,6,44,Mixed
275,Italy,ITA,8,61,Women
276,Italy,ITA,8,60,Men
277,Italy,ITA,11,78,Men
278,Italy,ITA,11,76,Women
279,Italy,ITA,11,70,Mixed
280,Italy,ITA,16,110,Men
281,Italy,ITA,13,87,Men
282,Italy,ITA,14,90,Mixed
283,Italy,ITA,9,66,Mixed
284,Italy,ITA,13,84,Mixed
285,Italy,ITA,10,68,Men
286,Italy,ITA,4,33,Women
287,Italy,ITA,4,31,Women
288,Italy,ITA,2,18,Women
289,Italy,ITA,2,17,Men
290,Italy,ITA,2,10,Mixed
291,Italy 1,ITA,1,2,Men
292,Italy 1,ITA,1,3,Women
293,Italy 1,ITA,15,99,Mixed
294,Italy 2,ITA,15,99,Mixed
295,Italy 2,ITA,1,3,Women
296,Italy 2,ITA,1,2,Men
297,Italy 3,ITA,1,2,Men
298,Italy 3,ITA,1,3,Women
299,Italy 4,ITA,1,3,Women
300,Italy 4,ITA,1,2,Men
301,MARGAGLIO Valentina/GASPARI Mattia,ITA,12,81,Mixed
302,NAGLER Ivan/MALLEIER Fabian,ITA,9,64,Men
303,RIEDER Emanuel/KAINZWALDNER Simon,ITA,9,64,Men
304,VOETTER Andrea/OBERHOFER Marion,ITA,9,65,Women
305,PITTER Shane,JAM,3,24,Men
306,PITTER Shane,JAM,3,22,Men
307,Japan,JPN,8,61,Women
308,Japan,JPN,6,44,Mixed
309,Japan,JPN,5,37,Women
310,Japan,JPN,10,68,Men
311,Japan,JPN,13,84,Mixed
312,Japan,JPN,13,87,Men
313,Japan,JPN,16,110,Men
314,Japan,JPN,16,111,Women
315,Japan,JPN,11,70,Mixed
316,Japan,JPN,11,76,Women
317,Japan,JPN,11,78,Men
318,MIURA Riku/KIHARA Ryuichi,JPN,6,42,Mixed
319,NAGAOKA Yuna/MORIGUCHI Sumitada,JPN,6,42,Mixed
320,YOSHIDA Utana/MORITA Masaya,JPN,6,44,Mixed
321,Kazakhstan,KAZ,4,34,Men
322,Kazakhstan,KAZ,13,87,Men
323,Kazakhstan,KAZ,11,70,Mixed
324,Kazakhstan,KAZ,16,111,Women
325,Kazakhstan,KAZ,2,10,Mixed
326,Kazakhstan,KAZ,4,31,Women
327,Kazakhstan,KAZ,4,33,Women
328,HONG Sujung/JUNG Seunggi,KOR,12,81,Mixed
329,KIM Jinsu,KOR,3,22,Men
330,KIM Jinsu,KOR,3,24,Men
331,KIM Yooran,KOR,3,23,Womwn
332,LIM Hannah/QUAN Ye,KOR,6,43,Mixed
333,Republic of Korea,KOR,6,44,Mixed
334,Republic of Korea,KOR,5,37,Women
335,Republic of Korea,KOR,5,39,Mixed
336,Republic of Korea,KOR,11,70,Mixed
337,Republic of Korea,KOR,11,78,Men
338,Republic of Korea,KOR,11,76,Women
339,Republic of Korea,KOR,4,33,Women
340,SUK Youngjin,KOR,3,22,Men
341,SUK Youngjin,KOR,3,24,Men
342,ANDZANE Marta/INDRIKSONS Emils,LAT,12,81,Mixed
343,BOTS Martins/PLUME Roberts,LAT,9,64,Men
344,GRANTINS Renars,LAT,3,24,Men
345,KALENDA Jekabs,LAT,3,24,Men
346,KALENDA Jekabs,LAT,3,22,Men
347,Latvia,LAT,8,60,Men
348,Latvia,LAT,4,34,Men
349,Latvia,LAT,9,66,Mixed
350,Latvia,LAT,2,10,Mixed
351,Latvia,LAT,4,33,Women
352,Latvia,LAT,4,31,Women
353,Latvia,LAT,2,17,Men
354,Latvia,LAT,2,18,Women
355,ROBEZNIECE Marta/BOGDANOVA Kitija,LAT,9,65,Women
356,SEVICS-MIKELSEVICS Eduards/KRASTS Lukass,LAT,9,64,Men
357,KRANZ Martin,LIE,3,24,Men
358,KRANZ Martin,LIE,3,22,Men
359,Lithuania,LTU,2,10,Mixed
360,Lithuania,LTU,2,18,Women
361,Lithuania,LTU,2,17,Men
362,Lithuania,LTU,4,33,Women
363,Lithuania,LTU,4,34,Men
364,REED Allison/AMBRULEVICIUS Saulius,LTU,6,43,Mixed
365,DANILOVA Daria/TSIBA Michel,NED,6,42,Mixed
366,Netherlands,NED,16,111,Women
367,Netherlands,NED,16,110,Men
368,Netherlands,NED,11,70,Mixed
369,Netherlands,NED,11,78,Men
370,Netherlands,NED,11,76,Women
371,WESSELINK Dave,NED,3,24,Men
372,WESSELINK Dave,NED,3,22,Men
373,Norway,NOR,1,3,Women
374,Norway,NOR,2,10,Mixed
375,Norway,NOR,4,33,Women
376,Norway,NOR,4,31,Women
377,Norway,NOR,2,17,Men
378,Norway,NOR,2,18,Women
379,Norway,NOR,16,110,Men
380,Norway,NOR,13,87,Men
381,Norway,NOR,14,90,Mixed
382,Norway,NOR,13,84,Mixed
383,Norway,NOR,10,68,Men
384,Norway,NOR,4,34,Men
385,Norway,NOR,4,17,Men
386,Norway,NOR,5,39,Mixed
387,Norway,NOR,5,38,Men
388,Norway 1,NOR,1,2,Men
389,Norway 2,NOR,1,2,Men
390,CHMIELEWSKI Wojciech/GANCARCZYK Michal,POL,9,64,Men
391,CHTCHETININA Ioulia/WOZNIAK Michal,POL,6,42,Mixed
