athlete_id,athlete_name,country_code,gender,sports,events
101,ANTTOLA Niko,FIN,M,Cross-Country Skiing,Men's 10km Interval Start Free/Men's 10km + 10km Skiathlon
102,APARJODE Kendija,LAT,F,Luge,Women's Singles
103,APARJODE Kendija,LAT,F,Luge,Women's Singles
104,APARJODS Kristers,LAT,M,Luge,Men's Singles/Team Relay
105,APARJODS Kristers,LAT,M,Luge,Men's Singles/Team Relay
106,APPIAH Cynthia,CAN,F,Bobsleigh,2-woman/Women's Monobob
107,APPLEBY Edward,GBR,M,Figure Skating,Team Event
108,ARAI Makiko,JPN,F,Freestyle Skiing,Women's Ski Cross
109,ARITO Motonaga,JPN,M,Speed Skating,Men's 1500m/Men's 5000m/Men's Mass Start/Men's Team Pursuit
110,ARLT Tobias,GER,M,Luge,Men's Doubles/Team Relay
111,ARLT Tobias,GER,M,Luge,Men's Doubles/Team Relay
112,ARMAN Sebastiano,ITA,M,Curling,Men
113,ARMBRUSTER HUMPHRIES Kaillie,USA,F,Bobsleigh,2-woman/Women's Monobob
114,ARMIA Joel,FIN,M,Ice Hockey,Men
115,ARNEKLEIV Juni,NOR,F,Biathlon,To be defined
116,ARNET Sina,SUI,F,Ski Jumping,Women's NH Individual
117,ARNET Sina,SUI,F,Ski Jumping,Women's NH Individual
118,ARONSSON ELFMAN Hanna,SWE,F,Alpine Skiing,To be defined
119,ARTHUR Emily,AUS,F,Snowboard,Women's Snowboard Halfpipe
120,ASCIC Valentina,CRO,F,Short Track Speed Skating,Women's 500m
121,ASCIC Valentina,CRO,F,Short Track Speed Skating,Women's 500m/Women's 1000m
122,ASSAN Assylkhan,KAZ,M,Freestyle Skiing,Men's Aerials
123,ASSELIN Olivia,CAN,F,Freestyle Skiing,To be defined
124,ASTNER Nina,AUT,F,Alpine Skiing,To be defined
125,ASTRIDGE Alexander,UAE,M,Alpine Skiing,To be defined
126,ATANASOVSKA Jana,MKD,F,Alpine Skiing,To be defined
127,ATKIN Zoe,GBR,F,Freestyle Skiing,Women's Freeski Halfpipe
128,AUCHENTALLER Hannah,ITA,F,Biathlon,Women's 15km Individual/Women's 7.5km Sprint
129,AUER Florian,AUT,M,Skeleton,Men
130,AUJESKY Johannes,AUT,M,Freestyle Skiing,Men's Ski Cross
131,AURARD-BUSHEE Chloe,FRA,F,Ice Hockey,Women
132,AUSTIN Taylor,CAN,M,Bobsleigh,2-man/4-man
133,AUVITU Yohann,FRA,M,Ice Hockey,Men
134,AUZINA Kitija,LAT,F,Cross-Country Skiing,Women's 10km Interval Start Free/Women's 4 x 7.5km Relay/Women's Sprint Classic
135,AVVAKUMOVA Ekaterina,KOR,F,Biathlon,Women's 15km Individual/Women's 7.5km Sprint
136,AX SWARTZ Fabian,SWE,M,Alpine Skiing,To be defined
137,AYMOZ Kevin,FRA,M,Figure Skating,Men Single Skating/Team Event
138,AZHGALIYEV Abzal,KAZ,M,Short Track Speed Skating,Mixed Team Relay
139,Alexander Astridge,UAE,M,Alpine skiing,Men's slalom
140,BABA Naoto,JPN,M,Cross-Country Skiing,Men's 10km Interval Start Free/Men's 10km + 10km Skiathlon
141,BABINSKY Stefan,AUT,M,Alpine Skiing,Men's Downhill/Men's Super-G/Men's Team Combined
142,BABURA Bohdan,UKR,M,Luge,Men's Doubles
143,BACCA GONCALVES Luis,BRA,M,Bobsleigh,2-man/4-man
144,BACHL-STAUDINGER Leonie,GER,F,Freestyle Skiing,Women's Ski Cross
145,BADACZ Konrad,POL,M,Biathlon,Men's 20km Individual/Men's 10km Sprint/Men's 12.5km Pursuit/Mixed Relay 4 x 6km (M+W)
146,BAECHLER Alessia,SUI,F,Ice Hockey,Women
147,BAETSCHI Flurina Neva,SUI,F,Snowboard,Women's Parallel Giant Slalom
148,BAFF Josie,AUS,F,Snowboard,Women's Snowboard Cross
149,BAGNIS Amedeo,ITA,M,Skeleton,Men
150,BAI Xinhui,CHN,F,Snowboard,Women's Parallel Giant Slalom
151,BALCERS Rudolfs,LAT,M,Ice Hockey,Men
152,BALINSKIS Uvis Janis,LAT,M,Ice Hockey,Men
153,BALL Lucas,NZL,M,Freestyle Skiing,Men's Freeski Slopestyle/Men's Freeski Big Air
154,BALLET BAZ Mylene,FRA,F,Freestyle Skiing,Women's Ski Cross
155,BALZER Leoni,SUI,F,Ice Hockey,Women
156,BAN Xuefu,CHN,M,Snowboard,Men's Parallel Giant Slalom
157,BANKES Charlotte,GBR,F,Snowboard,Women's Snowboard Cross
158,BAO Zhenyu,CHN,M,Luge,Men's Singles/Team Relay
159,BARAN Martyna,POL,F,Speed Skating,Women's 500m
