date,time,sport,event,gender,country_code,athlete_name,position
02/11/2026,6:45,Nordic Combined, Individual Gund. NH/10km Cross-Country,Men,FIN,HIRVONEN E,3
02/11/2026,7:15,Biathlon,Women's 15km Individual,Women,FRA,SIMON J,1
02/11/2026,7:15,Biathlon,Women's 15km Individual,Women,FRA,JEANMONNOT L,2
02/11/2026,7:15,Biathlon,Women's 15km Individual,Women,BUL,HRISTOVA L,3
02/11/2026,7:55,Freestyle Skiing,Women's Moguls Final 2,Women,USA,LEMLEY E,1
02/11/2026,7:55,Freestyle Skiing,Women's Moguls Final 2,Women,USA,KAUF J,2
02/11/2026,7:55,Freestyle Skiing,Women's Moguls Final 2,Women,FRA,LAFFONT P,3
02/11/2026,11:30,Speed Skating,Men's 1000m,Men,USA,STOLZ J,1
02/11/2026,11:30,Speed Skating,Men's 1000m,Men,NED,de BOO J,2
02/11/2026,11:30,Speed Skating,Men's 1000m,Men,CHN,NING Z,3
02/12/2026,4:30,Alpine Skiing,Women's Super-G,Women,ITA,BRIGNONE F,1
02/12/2026,4:30,Alpine Skiing,Women's Super-G,Women,FRA,MIRADOLI R,2
02/12/2026,4:30,Alpine Skiing,Women's Super-G,Women,AUT,HUETTER C,3
02/12/2026,5:55,Freestyle Skiing,Men's Moguls Finals,Men,AUS,WOODS C,1
02/12/2026,5:55,Freestyle Skiing,Men's Moguls Finals,Men,CAN,KINGSBURY M,2
02/12/2026,5:55,Freestyle Skiing,Men's Moguls Finals,Men,JPN,HORISHIMA I,3
02/12/2026,6:00,Cross-Country Skiing,Women's 10km Interval Start Free,Women,SWE,KARLSSON F,1
02/12/2026,6:00,Cross-Country Skiing,Women's 10km Interval Start Free,Women,SWE,ANDERSSON E,2
02/12/2026,6:00,Cross-Country Skiing,Women's 10km Interval Start Free,Women,USA,DIGGINS J,3
02/12/2026,7:56,Snowboard,Men's Snowboard Cross Big Final,Men,AUT,HAEMMERLE A,1
02/12/2026,7:56,Snowboard,Men's Snowboard Cross Big Final,Men,CAN,GRONDIN E,2
02/12/2026,7:56,Snowboard,Men's Snowboard Cross Big Final,Men,AUT,DUSEK J,3
02/12/2026,9:30,Speed Skating,Women's 5000m,Women,ITA,LOLLOBRIGIDA F,1
02/12/2026,9:30,Speed Skating,Women's 5000m,Women,NED,CONIJN M,2
02/12/2026,9:30,Speed Skating,Women's 5000m,Women,NOR,WIKLUND R,3
02/12/2026,13:28,Snowboard,Women's Snowboard Halfpipe Final Run 3,Women,KOR,CHOI G,1
02/12/2026,13:28,Snowboard,Women's Snowboard Halfpipe Final Run 3,Women,USA,KIM C,2
