event_id,sport_id,event_name,gender_category,date,time,event_type,venue_id
93,Women's Parallel Giant slalom,09:30,02/08/2026,Individual,Women,15,11
94,Women's Big Air,19:30,02/08/2026,Individual,Women,15,11
95,Men's Snowboard Cross,10:00,02/12/2026,Individual,Men,15,11
96,Women's Halfpipe,19:30,02/12/2026,Individual,Women,15,11
97,Women's Snowboard Cross,10:00,02/13/2026,Individual,Women,15,11
98,Men's Halfpipe,19:30,02/13/2026,Individual,Men,15,11
99,Mixed Team Snowboard Cross,13:45,02/15/2026,Team,Mixed,15,11
100,Women's Slopestyle,14:30,02/18/2026,Individual,Women,15,11
101,Men's Slopestyle,12:30,02/18/2026,Individual,Men,15,11
102,Women's 3000 Metres,16:00,02/07/2026,Individual,Women,16,4
103,Men's 5000 Metres,16:00,02/08/2026,Individual,Men,16,4
104,Women's 1000 Metres,17:30,02/09/2026,Individual,Women,16,4
105,Men's 1000 Metres,18:30,02/11/2026,Individual,Men,16,4
106,Women's 5000 Metres,16:30,02/12/2026,Individual,Women,16,4
107,Men's 10000 Metres,16:00,02/13/2026,Individual,Men,16,4
108,Men's 500 Metres,16:00,02/14/2026,Individual,Men,16,4
109,Women's 500 Metres,16:00,02/15/2026,Individual,Women,16,4
110,Men's Team Pursuit,14:30,02/17/2026,Team,Men,16,4
111,Women's Team Pursuit,14:30,02/17/2026,Team,Women,16,4
112,Men's 1500 Metres,16:30,02/19/2026,Individual,Men,16,4
113,Women's 1500 Metres,16:30,02/20/2026,Individual,Women,16,4
114,Men's Mass Start,15:00,02/21/2026,Individual,Men,16,4
115,Women's Mass Start,15:00,02/23/2026,Individual,Women,16,4
116,Men's downhill,11:30,02/07/2026,Individual,Men,1,10
117,To be defined,None,None,None,Mixed,1,1
118,To be defined,None,None,None,Mixed,3,1
119,To be defined,None,None,None,Mixed,11,1
120,To be defined,None,None,None,Mixed,2,1
121,To be defined,None,None,None,Mixed,7,1
122,To be defined,None,None,None,Mixed,4,1
