date,time,sport,event,gender,country_code,team_name,position
02/18/2026,05:15,Cross-Country Skiing,Men's Team Sprint Free,Men,USA,United States,2
02/18/2026,05:15,Cross-Country Skiing,Men's Team Sprint Free,Men,ITA,Italy,3
02/18/2026,07:45,Biathlon,Women's 4 X 6 km Relay,Women,FRA,France,1
02/18/2026,07:45,Biathlon,Women's 4 X 6 km Relay,Women,SWE,Sweden,2
02/18/2026,07:45,Biathlon,Women's 4 X 6 km Relay,Women,NOR,Norway,3
02/18/2026,14:00,Short Track Speed Skating,Women's 3000 m Relay,Women,KOR,Korea,1
02/18/2026,14:00,Short Track Speed Skating,Women's 3000 m Relay,Women,ITA,Italy,2
02/18/2026,14:00,Short Track Speed Skating,Women's 3000 m Relay,Women,CAN,Canada,3
02/19/2026,12:10,Ice Hockey,Women,Women,SWE,Switzerland,3
02/19/2026,12:10,Ice Hockey,Women,Women,USA,United States,1
02/19/2026,12:10,Ice Hockey,Women,Women,CAN,Canada,2
02/19/2026,07:00,Nordic Combined,Team Sprint,Men,NOR,Norway,1
02/19/2026,07:00,Nordic Combined,Team Sprint,Men,FIN,Finland,2
02/19/2026,07:00,Nordic Combined,Team Sprint,Men,AUT,Austria,3
02/20/2026,12:05,Curling,Men,Men,SUI,Switzerland,3
02/21/2026,04:45,Freestyle Skiing,Mixed Team Aerials,Mixed,USA,United States,1
02/21/2026,04:45,Freestyle Skiing,Mixed Team Aerials,Mixed,SUI,Switzerland,2
02/21/2026,04:45,Freestyle Skiing,Mixed Team Aerials,Mixed,CHN,China,3
02/21/2026,06:30,Ski Mountaineering,Mixed Relay,Mixed,FRA,France,1
02/21/2026,06:30,Ski Mountaineering,Mixed Relay,Mixed,SUI,Switzerland,2
02/21/2026,06:30,Ski Mountaineering,Mixed Relay,Mixed,ESP,Spain,3
02/21/2026,07:05,Curling,Women,Women,CAN,Canada,3
02/21/2026,12:05,Curling,Men,Men,CAN,Canada,1
02/21/2026,12:05,Curling,Men,Men,GBR,Great Britain,2
02/21/2026,13:40,Ice Hockey,Men,Men,FIN,Finland,3
02/21/2026,14:05,Bobsleigh,Two-woman,Women,GER,NOLTE L,1
02/21/2026,14:05,Bobsleigh,Two-woman,Women,GER,BUCKWITZ L,2
02/21/2026,14:05,Bobsleigh,Two-woman,Women,USA,ARMBRUSTER HUMPHR,3
02/22/2026,04:05,Curling,Women,Women,SWE,Sweden,1
02/22/2026,04:05,Curling,Women,Women,SUI,Switzerlan,2
02/22/2026,05:15,Bobsleigh,Four-man,Men,GER,LOCHNER J ,1
02/22/2026,05:15,Bobsleigh,Four-man,Men,GER,FRIEDRICH F ,2
02/22/2026,05:15,Bobsleigh,Four-man,Men,SUI,VOGT M ,3
02/22/2026,07:10,Ice Hockey,Men,Men,USA,United States,1
02/22/2026,07:10,Ice Hockey,Men,Men,CAN,Canada,2
