athlete_id,event_id,ranking
413,13,NULL
413,15,NULL
414,29,NULL
414,25,NULL
415,30,NULL
415,27,NULL
416,117,NULL
417,97,NULL
418,12,NULL
418,14,NULL
419,30,NULL
419,27,NULL
420,100,NULL
420,94,NULL
421,116,NULL
421,4,2
422,30,NULL
422,26,NULL
422,27,NULL
423,83,NULL
424,27,NULL
425,11,NULL
425,13,NULL
426,12,NULL
427,117,NULL
428,29,NULL
428,25,NULL
429,71,NULL
430,116,NULL
430,4,NULL
432,102,NULL
432,106,2
432,115,NULL
433,11,NULL
433,13,NULL
433,15,NULL
435,95,NULL
438,93,NULL
439,72,NULL
440,100,NULL
440,94,NULL
441,117,NULL
442,30,NULL
443,89,NULL
444,69,NULL
446,54,NULL
448,63,NULL
449,116,NULL
449,4,NULL
450,63,NULL
451,29,NULL
451,25,NULL
453,11,NULL
453,13,NULL
455,30,NULL
455,27,NULL
456,89,NULL
458,55,NULL
459,12,NULL
460,5,NULL
461,29,NULL
462,26,NULL
462,27,NULL
463,104,NULL
463,113,NULL
465,118,NULL
467,28,3
468,29,NULL
468,28,NULL
470,30,NULL
470,26,NULL
470,27,NULL
471,11,NULL
471,13,NULL
471,15,NULL
472,93,3
473,93,NULL
474,72,NULL
475,29,NULL
475,28,NULL
477,57,NULL
478,30,NULL
478,27,NULL
480,117,NULL
481,14,NULL
482,30,NULL
482,26,NULL
483,57,NULL
485,112,NULL
485,103,NULL
485,107,NULL
485,114,NULL
487,72,NULL
488,79,NULL
489,55,NULL
490,93,NULL
492,1,NULL
493,29,NULL
494,12,NULL
498,57,1
499,53,NULL
501,52,NULL
502,114,NULL
504,83,3
505,30,2
505,26,2
506,47,NULL
506,49,NULL
507,71,NULL
508,72,NULL
509,57,NULL
511,100,NULL
511,94,NULL
512,96,NULL
513,29,NULL
513,28,NULL
515,28,NULL
518,29,3
518,25,NULL
518,28,NULL
521,12,NULL
521,14,NULL
523,118,NULL
524,108,NULL
525,117,NULL
526,12,NULL
526,14,NULL
529,97,NULL
530,11,NULL
530,13,NULL
531,62,NULL
532,108,NULL
532,105,NULL
532,112,NULL
533,11,NULL
533,13,NULL
535,82,NULL
536,93,NULL
538,53,NULL
543,11,NULL
543,13,NULL
543,15,NULL
544,30,NULL
544,26,NULL
544,27,NULL
546,27,NULL
547,88,NULL
548,28,NULL
549,25,NULL
549,28,NULL
550,30,NULL
550,26,NULL
550,27,NULL
552,4,NULL
553,57,NULL
554,47,NULL
554,49,NULL
555,72,NULL
557,108,3
557,105,NULL
558,11,NULL
558,13,NULL
559,117,NULL
560,63,NULL
561,45,NULL
561,51,NULL
563,57,NULL
567,5,NULL
568,29,NULL
569,95,3
572,112,NULL
572,107,NULL
572,114,NULL
573,11,NULL
573,13,NULL
574,12,NULL
574,14,NULL
577,82,NULL
578,11,NULL
578,13,NULL
578,15,NULL
581,117,NULL
582,40,NULL
586,95,NULL
590,29,NULL
590,25,NULL
591,51,NULL
592,82,NULL
594,112,NULL
594,103,1
594,107,NULL
596,117,NULL
597,88,NULL
598,116,NULL
598,4,NULL
600,62,NULL
601,83,NULL
602,73,NULL
603,120,NULL
604,30,NULL
604,26,NULL
604,27,NULL
605,29,NULL
605,28,NULL
607,30,NULL
607,27,NULL
608,29,NULL
611,12,NULL
611,14,NULL
612,54,NULL
613,117,NULL
615,122,NULL
616,96,NULL
617,96,NULL
618,89,NULL
620,119,NULL
625,29,NULL
625,28,NULL
626,11,NULL
626,13,NULL
626,15,NULL
628,71,NULL
631,62,3
632,15,NULL
632,91,NULL
633,112,NULL
633,103,NULL
635,89,1
636,118,NULL
642,41,NULL
643,63,NULL
645,92,NULL
647,72,NULL
648,63,NULL
649,12,NULL
650,95,NULL
651,56,1
652,88,NULL
654,117,NULL
655,117,NULL
657,88,2
659,11,NULL
659,13,1
659,15,NULL
660,11,NULL
660,13,NULL
661,29,NULL
661,25,NULL
662,79,NULL
663,57,NULL
664,97,NULL
665,29,NULL
665,28,NULL
666,63,3
667,62,NULL
668,92,NULL
669,15,NULL
669,91,NULL
670,57,3
671,55,NULL
674,11,NULL
674,13,NULL
677,11,NULL
677,13,NULL
678,79,NULL
679,1,NULL
680,30,NULL
680,26,NULL
680,27,NULL
681,54,NULL
682,27,NULL
683,82,NULL
685,11,NULL
685,13,NULL
686,55,NULL
687,71,2
689,29,NULL
689,25,NULL
690,46,NULL
690,52,2
691,46,NULL
691,52,NULL
692,83,NULL
697,29,NULL
697,25,NULL
698,83,NULL
700,62,NULL
701,97,NULL
705,83,NULL
706,116,2
706,4,NULL
708,59,NULL
709,11,NULL
710,12,NULL
710,14,NULL
712,82,NULL
713,120,NULL
