athlete_id, team_id
2,141
4,275
8,213
10,108
12,407
13,424
14,170
15,446
18,153
19,154
21,226
25,307
26,4
35,89
39,438
43,68
45,274
46,364
48,202
48,203
54,141
56,533
58,446
59,447
64,261
66,464
74,453
76,177
81,349
82,58
83,241
85,313
86,214
87,273
88,500
89,153
104,169
105,60
105,59
106,170
110,171
111,323
116,51
116,52
118,402
119,465
124,347
125,347
128,465
131,100
134,169
137,536
140,213
141,1
142,472
145,179
146,535
148,347
149,424
150,141
151,169
155,263
155,262
161,219
163,1
164,35
165,241
167,170
168,8
169,180
170,523
171,396
172,350
176,67
178,169
181,367
182,464
183,464
185,460
186,170
188,464
189,201
189,200
192,279
192,278
194,366
200,536
201,262
202,51
202,52
203,67
204,529
205,350
206,141
208,196
209,71
211,141
212,11
215,72
217,347
218,167
220,368
220,369
223,355
223,349
224,126
225,537
226,275
229,424
233,282
235,170
237,367
238,417
239,349
241,349
243,169
244,170
246,69
246,71
248,446
249,529
251,170
253,276
254,465
257,447
263,284
267,171
270,447
272,485
272,486
274,64
278,141
279,69
279,71
287,107
289,465
291,426
293,204
294,357
297,347
298,347
309,410
312,411
313,248
316,123
319,170
321,438
323,536
325,535
332,534
334,277
339,275
346,422
347,67
349,528
350,422
351,422
352,418
353,126
356,124
357,333
358,125
360,170
362,535
363,13
373,260
373,259
376,174
382,124
383,390
383,394
386,535
389,336
389,338
395,465
396,374
397,213
398,391
402,347
403,107
404,359
405,422
406,171
407,276
408,68
413,48
418,48
423,523
429,179
429,178
431,279
431,278
432,366
434,537
436,271
436,272
437,274
447,536
450,410
452,170
454,67
457,536
466,447
469,170
474,69
474,70
476,365
479,347
481,133
484,199
484,200
485,528
486,82
486,83
487,527
496,275
497,370
500,68
502,180
507,47
508,47
508,46
510,47
510,46
514,141
517,252
517,241
519,276
522,415
527,71
528,245
528,244
531,394
532,219
534,392
534,394
537,102
539,124
540,170
541,67
545,212
551,532
555,69
555,70
562,536
564,142
565,142
566,275
570,169
571,422
572,379
573,325
575,347
576,260
576,259
577,16
578,25
579,452
580,536
582,200
584,347
585,36
585,20
587,212
588,141
589,537
593,206
593,214
594,379
595,447
597,398
599,141
601,16
602,369
606,465
609,447
610,452
611,148
621,268
621,274
622,537
623,170
624,276
627,124
628,111
629,262
630,275
631,521
634,68
635,467
637,241
638,306
638,305
639,275
640,422
641,101
